2017-11-24 14:47:54.123 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 14:47:54.140 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-24 14:47:54.142 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 14:47:54.471 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 14:47:54.501 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 14:47:54.556 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@45d144f2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2e058fad, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6f1bbe75, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6752c50, org.springframework.test.context.transaction.TransactionalTestExecutionListener@76b03b7f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2c124bb9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@65297549, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4d33f82, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@48ee7247, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e90b8b9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2f4f895c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@ec30f48]
2017-11-24 14:50:10.289 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 14:50:10.326 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-24 14:50:10.328 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 14:50:10.776 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 14:50:10.798 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 14:50:10.866 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@327dd4e5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@63242048, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@58c389d1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@d8d25de, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2db118c5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@45d144f2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2e058fad, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6f1bbe75, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6752c50, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@76b03b7f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2c124bb9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@65297549]
2017-11-24 14:53:15.571 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
